year,month,usd
2010,7,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,1110
2010,8,1110
2010,8,1110
2010,8,1110
2010,8,1110
2010,8,1110
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,8,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,9,3890
2010,10,3330
2010,10,3890
2010,10,3890
2010,10,2160
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,2160
2010,10,3890
2010,10,3890
2010,10,2160
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,10,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,1110
2010,11,1110
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,11,3890
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,2780
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,3890
2010,12,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,1,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,6670
2011,2,3890
2011,2,3890
2011,2,1110
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,2,3890
2011,3,3890
2011,3,3890
2011,3,3890
2011,3,2160
2011,3,3890
2011,3,3890
2011,3,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,3890
2011,4,1110
2011,4,3890
2011,5,2160
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,2160
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,5,3890
2011,6,3890
2011,6,3890
2011,6,3610
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
